ID	citation	author	title	year	source	details	doi	link	remarks
61		Koch C	" Sechster taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalias Abhandlungen über die tropisch-xerophilen Molurini-Gattungen Phrynocolus und Phrynophanes, sowie Untergattung Somalarabes von Psammophanes. "	1969		Entomologische Arbeiten aus dem Museum G Frey Tutzing bei München 20: 1–35			
63		Wilke S	Die Phrynocolus-Arten des Genueser zoologischen Museums. (Col. Tenebr.). 	1922		Berliner entomologische Zeitschrift 1922: 381.			
167		Péringuey LA	Second contribution to the South-African Coleopterous Fauna.	1886		Transactions of the South African Philosophical Society 4: 67–19.			
60		Herbst JFW	Natursystem aller bekannten in- und ausländischen Insekten als eine Fortsetzung der von Büffonschen Naturgeschichte: Nach dem System des Ritters Carl von Linné bearbeitet von Carl Gustav Jablonsky, fortgesetzt von Johann Friedrich Wilhelm Herbst. 	1799		Berlin, I–XVI.			
138		Allard E	Mémoire sur les Coléoptères Ténébrionides formant les genres Sepidium, Fabr. & Vieta, Cast.	1874		Revue et Magasin de Zoologie 3: 120–151. 			
157		Escalera MM	Especies de Pachychila y otros tenebriónidos nuevos de Marruecos.	1925		Boletínde la Real Sociedad Española de Historia Natural 25: 372–385.			
173		Thunberg CP	De Brachycero, tractatus entomologicus.	1799		Nova Acta Regiae Societatis Scientiarum Upsaliensis 6: 11–37.			
10		Koch C	Die Tenebrioniden des südlichen Afrikas XIII Vorstudien zu einer Monographie der Molurini, 3. Col. Tenebrionidae).	1952		Entomologische Arbeiten 3 214–349			
28		Fåhraeus OL	Coleoptera Caffrariae, annis 1838–1845 a J. A. Wahlberg collecta. Heteromera descripsit.	1870		Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar 27: 243–358.			
101		Ferrer J	The types of darkling beetles (Coleoptera: Tenebrionidae) described by Thunberg (1821, 1827) in Coleoptera Capensia and other papers, with taxonomic comments.	2009		Boletin Sociedad Entomológica Aragonesa 44: 111–129.			
20		Péringuey LA	Fifth contribution to the South-African Coleopterous Fauna.	1899		Annals of the South Africa Museum 1: 240–330			
46		Robiche G	Note sur le genre Psammodes Kirby, 1818 au Mozambique et descriptions de nouvelles espèces appartenant aux genres Psammophanes Lesne, 1922 et Dichtha Haag-Rutenberg, 1871 (Coleoptera, Tenebrionidae). 	2013		Lambillionea 113: 155–166.			
97		Fairmaire L	Notes sur quelque Coléoptères de l’Afrique intertropicale et descriptions d’espèces nouvelles. 	1891a		Annales de la Société Entomologique de France 60: 231–274.			
160		Erichson WF	Entomology, Coleoptera.	1844		In: Ray Society, Reports on zoology for 1843, 1844. Instituted MDCCCXLIV, London, 313–355.			
170		Hope FW	“Somaticus Hope”.	1840		In: Bridgewater JC. The Coleopterist’s Manual. 3. London, 191 pp.			
108		Westwood JO	[new species description].	1864		Proceedings of the Zoological Society of London, 1864			
110		Müller CL	Vierzehn neue Heteromeren von Bradshaw im Zambesi-Gebiete aufgefunden, mit Abbildungen von van de Poll. 	1887		Tijdschrift voor entomologie 30: 297–308. 			
111		Ferrer J, Evanno C, Evanno A	Description of a new species of Tarsocnodes Gebien Coleoptera, Tenebrionidae, Molurini from Congo.	2010		Boletin de la Sociedad Entomológica Aragonesa 47: 195–198.			
149		Kwieton E	Espèces nouvelles des genres Adesmia Fisch., Pimelia Sol. et Vieta (Col. Tenebrionidae).	1978		Bulletin de la Société Entomologique de Mulhouse 1978 8–12.			
51		Péringuey LA	Third contribution to the South-African Coleopterous Fauna.	1892		Transactions of the South African philosophical Society 6: 1–94.			
69		Koch C	Die Tenebrioniden des südlichen Afrikas XIV Über einige neue Molurini aus dem Ungarischen Naturwissenschaftlichen Museum zu Budapest (Vorarbeiten zu einer Monographie der Molurini, 4.	1953a		Annales historico-naturales Musei nationalis hungarici 44 (series nova 3): 137–181.			
84		Gridelli E	Coleoptera Staphylinidae, Diversicornia, Heteromera, Lamellicornia, Chrysomelidae (Partim). Missione Biologica nel Paese dei Borana. 	1939a		Volume secondo Raccolte Zoologiche Parte prima Reale Accademia d’Italia, Centro Studi per l’Africa Orientale Italiana, Roma 2: 85–315. 			
176		Alonso-Zarazaga MA	On the identity of some weevil species described by Johann Christian Fabricius (1745-1808) in the Museum of Zoology of Copenhagen (Coleoptera, Cucujoidea, Curculionoidea, Tenebrionoidea)	2014		ZooKeys, 451: 61-91.			
8		Haag-Rutenberg G	Beiträge zur Familie der Tenebrioniden IV. Stück).	1873		Coleopterologische Hefte XI 1–49.			
53		Koch C	Die Tenebrioniden des südlichen Afrikas XIX Zwei neue Distretus (Perdistretus) aus dem Belgischen Congo.	1954a		Annales du Musée du Congo belge 1: 435–439.			
115		Ferrer J	Contribution to the knowledge of the Tenebrionidae of Somalia (Coleoptera).	1995		Frustula Entomologica 18: 1–76.			
163		Gridelli E	Catalogo ragionato delle specie di Coleotteri Tenebrionini dell’Arabia.	1953		Atti del museo civico di storia naturale di Trieste 19: 3–73.			
99		Gebien H	Die Tenebrioniden (Coleoptera Heteromera) der Namibwüste in Südwestafrika. 	1938a		Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen 30: 20–107.			
100		Hesse AJ	Scientific results of the Vernay-Lang Kalahari Expedition, March to September, 1930. Tenebrionidae (Coleoptera).	1935		Annals of the Transvaal Museum 16: 525–579.			
123		Mal N	Description de deux espèces nouvelles du genre “Sepidium” Fabricius, 1755 (Coleoptera Tenebrionidae). 	1986b		Atti del Museo Civico di Storia Naturale di Trieste 39: 151–157. 			
164		DeGeer C	Mémoires pour servir a l’histoire des insectes.	1778		Stockholm. Dixième Mémoire: 591–666. 			
33		Haag-Rutenberg G	Beiträge zur Familie der Tenebrioniden (V. Stück). 	1875		Coleopterologische Hefte XIV: 67–92.			
44		Guérin-Méneville FE	" Description de quelques-uns des Insectes les plus remarquable découverts par M. A. Delegorcue dans les pays des Boschimans, des Ama Zoulous, des Massilicatzi et au Port Natal, pendant les années 1838, 39 , 40, 41, 42, 43 et 44. "	1845		Revue Zoologique par La Société Cuvierienne VIII: 283–286.			
67		Fairmaire L	Comptes-rendus des Séances de la Société Entomologique de Belgique	1882b		Annales de la Société entomologique de Belgique, 3(16): XLII–LX.			
90		Koch C	Vierter taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalias: über die von Prof G Scortecci 1953 und 1957 in der Migiurtinia Provinz gesammelten Arten. 	1962c		Atti della Società italiana di scienze naturali e del Museo civile di storia naturale 101: 237–270.			
9		Haag-Rutenberg G	Fernere Nachträge zu den Heteromeren-Monographien der Moluriden, Eurychoriden und Adesmiiden.	1879		Deutsche Entomologische Zeitschrift 23 289–296			
92		Kaszab Z	Angaben zur Kenntnis der Tenebrioniden des Tschadsee-Gebietes, nebst einer Revision der afrikanischen Mesomorphus-Arten (Coleoptera).	1963		Revue de zoologie et de botanique africaines 67: 341–387.			
156		Forskål P	Descriptiones animalium avium, amphibiorum, piscium, insectorum, vermium quae in itinere orientali observavit. 	1775		Mölleri, aulae Typographi, Hauniae, 232 pp.			
85		Reiche LJ	Entomologie.	1850		In: Ferret A, Galinier JG (Eds) Voyage en Abyssinie 1839–43, Voyage en Abyssinie dans les provinces du Tigré, du Samen et de l’Amhara. Paulin, Paris, 259–471, 13 pls.			
117		Gestro R	Di alcuni Coleotteri raccolti nel paese dei Somali. 	1892		Annali del Museo Civico di Storia Naturale di Genova 32: 747–790.			
161		Gmelin JF	Caroli a Linné Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, diﬀerentiis, synonymis, locis. Editio decima tertia, aucta, reformata. Tom. I. 	1790		Pars IV. Georg Emanuel Beer, Lipsiae, 1517–2224.			
12		Louw S	A partial revision of the subtribes Oxurina and Hypomelina Coleoptera Tenebrionidae Molurini).	1979		Cimbebasia 5 95–177.			
16		Péringuey LA	Tenebrionidae und Curculionidae	1908		Denkschriften der Medicinisch-Naturwissenschaftlichen Gesellschaft zu Jena 13 393–424			
37		Fairmaire L	Coléoptères des voyages de MG Revoil chez les Somâlis et dan l’intérieur du Zanguebar.	1887		Annales de la Société Entomologique de France 6: 69–186. 			
74		Laporte FLN de Caumont de Castelnau	Histoire naturelle des insectes coléoptères; avec une introduction renfermant l’anatomie et la physiologie des animaux articulés, par M Brullé. Tome deuxième.	1840		P Duménil, Paris, 563 pp.			
114		Ardoin P	Mission Balachowsky-Menier dan l’ancien territoire Français des Afars et des Issas. 	1979		Bulletin de la Société Entomologique de France 8 4: 58–61.			
124		Desbrochers des Loges J	Insectes coléoptères du nord de l’Afrique nouveaux ou peu connus. ler Mémoire. Ténébrionides. 	1881		Bulletin de I’Academie d’Hippone 16: 51–168.			
7		Haag-Rutenberg G	Beiträge zur Familie der Tenebrioniden III. Stück).	1871b		Coleopterologische Hefte VIII 29–113.			
59		Pallas PS	Icones Insectorum praesertim Russiae sibiriaeque peculiarum quae collegit et descriptionibus illustravit. 	1781		Wolfgangi Waltheri, Erlangae 4, 104 pp.			
78		Westwood JO	Descriptions of new Heteromerous Coleoptera. 	1875		Ecological Entomology 23: 223–232.			
102		Ferrer J, Holston K	Identities of Tenebrio Linnaeus types at Uppsala, and the resulting changes in old darkling beetle names (Insecta: Coleoptera: Tenebrionidae).	2009		" Zootaxa 2308: 29–42."			
36		Waterhouse CO	On the Insects collected on Kilima-njaro.	1885		Journal of Zoology 53: 230–235.			
47		Brancsik K	Coleoptera nova.	1914		Bericht des Museumvereines für das Comitat Trencsén 1914: 58–69.			
94		Kolbe HJ	Aufzählung der von Herrn Dr. Hans Meyer im Jahre 1889 im Gebiete des Kilimandscharo- und Ugueno-Gebirges gesammelten Coleopteren Stettiner.	1891		Entomologische Zeitung 52: 18–36.			
96		Thunberg CP	Opatrum Insecti genus.	1821		Reg. Academiae Typographi, Uppsaliae, i–v, 27–34.			
3		Gemminger M	[new names]	1870		In Harold E. von. Geänderte Namen. Coleopterologische Hefte 6 119–124.			
4		Germar EF	Species insectorum novae aut minus cognitae, descriptionibus illustratae. Volumen Primum.	1823		Coleoptera. J. C. Hendelii et filii, Halae, 624 pp.			
19		Kamiński et al.	A catalogue of the tribe Sepidiini Eschscholtz, 1829 Tenebrionidae Pimeliinae) of the world	2019		Zookeys 844: 1-121			
21		Koch C	Monograph of the Tenebrionidae of southern Africa Vol I (Tentyriinae, Molurini Trachynotina: Somaticus Hope).	1955		" Transvaal Museum Memoir 7, 242 pp"			
132		Mal N	Description d’une espèce nouvelle du genre Sepidium Fabricius, 1775 (Coleoptera, Tenebrionidae).	1990		Lambillionea 90: 64–67.			
171		Quensel K	Schoenherr CJ Synonymia Insectorum, oder: Versuch einer Synonymie aller bisher bekannten Insecten; nach Fabricii Systema Eleutheratorum geordnet. Erster Band. Eleutherata oder Käfer. 	1806		Heinr. A. Nordstrom, Stockholm, xxii + 293 pp.			
89		Koch C	Missione 1962 del Prof Giuseppe Scorecci nell’Arabia meridionale Coleotteri Tenebrionidae Includendo materiale di viaggi in Arabia del Sig G Popov (1962) e del Dr G Benardelli (1962–63.	1965		Atti della Società italiana di scienze naturali e del Museo civile di storia naturale 104: 99–154.			
103		Kaszab Z	The scientific results of Hungarian Zoological Expedition to Tanganyika. 15. Coleoptera: Tenebrionidae.	1972		Annales historico-naturales Musei nationalis hungarici 63: 225–238.			
154		Baudi F	Catalogo dei Tenebrioniti della fauna Europea e circummediterranea appartenenti alle collezioni del Museo Civico di Genova. 	1875		Annali del Museo Civico di Storia Naturale di Genova 7: 684–703.			
166		Pascoe FP	Notices of new or little-known genera and species of Coleoptera.	1866		Journal of Entomology 1866: 443–492. 			
17		Solier AJJ	Essai sur les collaptérides de la tribu des Molurites	1843		Imprimerie Royale, Turin. 127 pp., 4 pls. [extract of Memorie della Reale Accademia delle Scienze di Torino, 2) 6 [1844] 213–339].			
39		Gestro R	Esplorazione del Giuba e dei suoi affluenti compiuta dal Cap P. Bottego durante gli anni 1892–93 sotto gli auspicii Della Società Geografica Italiana. Risultati Zoologici. XVI Coleotteri.	1895		Tipografia R. Istituto Sordo-Muti, Genova, 254 pp.			
72		Linnaeus C	Fauna Sueciae sistens animalia Sueciae regni: Mammalia, Aves, Amphibia, Pisces, Insecta, Vermes, distributa per classes, ordines, genera et species, cum diferentiis specierum, synonymis, auctorum, locis natalium, descriptionibus insectorum; editio altera, auctiora “1761”.	1760		Laurentii et Salvi, Stockholmiae, 48 + 578 pp., 2 pl.			
82		Fairmaire L	Diagnoses de Coléoptères de l’Afrique Orientale. 	1884		Comptes-rendus des Séances de la Société Entomologique de Belgique 3(42): LXX–LXXVIII.			
148		Klug JCF	Insekten.	1835		In: Nordmann A, Erman AG, Klug JFC (Eds) Verzeichniss von Thieren und Pflanzen, welche auf enier Reise um die Erde gesammelt wurden. Georg Reimer, Berlin, 27–50.			
168		Fabricius JC	Species insectorum, exhibens eorum differentias specificas, synonyma auctorum, loca natalia, metamorphosis, adiecitis observationibus, descriptionibus. Tom I. 	1781		Carol Ernest Bohnii, Hamburgi et Kilonii, 552 pp. 			
34		Distant, 1892	A Naturalist in the Transvaal.	1892		R. H. Porter, London, 277 pp.			
43		Gebien H	Ueber neue Tenebrioniden Ostafrikas aus den Sammlungen des Museo Civico di Storia Nautrale di Trieste.	1937b		Atti del Museo Civico di Storia Naturale di Trieste 14(2): 21–56.			
64		Gridelli E	Coleotteri dell’Africa Orientale Italiana. 11 Contributo. Materiali per lo studio della Fauna Eritrea raccolti nel 1901–03 dal Dott. Alfredo Andreini. 	1939b		Memorie della Società Entomologica Italiana 18: 219–258.			
118		Gestro R	Contribuzione allo studio dei Sepidiini.	1898		Annali del Museo Civico di Storia Naturale di Genova 34: 512–158.			
91		Kolbe HJ	Über einige interessante Lamellicornier und Tenebrioniden Afrikas. 	1904		Berliner entomologische Zeitschrift 49: 282–302.			
98		Amyot CJB	M. de Pierret. M. Pierreti. Seville.	1835		Magazin de Zoologie 9: pl. 129.			
107		Billberg CJ	Insecta ex ordine coleopterorum descripta. Uppsala Kungliga Vetenskapliga Sällskapet.	1815		Nova Acta 2: 271–281. 			
129		Escalera MM	Coleópteros nuevos del S.W. de Marruecos.	1911		Boletín de la Real Sociedad Española de Historia Natural 11: 299–304.			
57		Koch C	Dritter taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalias.	1960		Memorie della Società Entomologica Italiana 38: 257–268.			
62		Koch C	Die Tenebrioniden des südlichen Afikas VII Arturium nov. gen. Molurinorum ex aff Phrynocolus Lac. 	1951		Atti della Società Italiana di Scienze Naturali 90: 89–96			
68		Mal N	Description d’une espèce nouvelle du genre Physophrynus Fairmaire, 1882 (Coleoptera: Tenebrionidae: Molurini). 	2005		Annales Zoologici 55: 9–10.			
70		Koch C	The Tenebrionidae of Southern Africa XXIV. Vorläufige Beschreibung neuer Tenebrioniden des Südlichen Africas aus der Sammlung der Universität Lund.	1953c		Lund University Arsskrift 49: 1–24.			
162		Baudi F	Europaea et circummediterraneae faunae Tenebrionidum specierum, quae Comes Dejean in suo Catalogo, editio 3a, consignavit, ex ejusdem collectione in R. Taurinensi Musaeo asservata, cum auctorum hodierne recepta denominatione collatio. 	1876		Deutsche Entomologische Zeitschrift 20: 1–74.			
175		Wiedemann CRW	Zweihundert neue Käfer von Java, Bengalen, und dem Vorgebirge der Guten Hoffnung.	1823		Zoologisches Magazin 2: 3–133. 			
143		Allard E	Communications.	1882		Bulletin de la Société Entomologique de France 6: 87.			
5		Guérin-Méneville FE	Matériaux pour une classification des mélasomes. Extraits ďune monographie de cette famille).	1834		Magasin de Zoologie 1 1–39			
71		Olivier AG	Entomologie, ou histoire naturelle des insectes, avec leur caractères génériques et spécifiques, leur description, leur synonymie, et leur figure enluminée. Coléoptères. Tome troisième. 	1795		De Lanneau, Paris, 557 pp.			
83		Lesne P	Bostrychides, Clérides, Sphindides, et Ténébrionides. In: Rothschild MB Voyage de M. le baron Maurice de Rothschild en Éthiopie et en Afrique Orientale Anglaise (1904–1905). Résultats scientifiques. Animaux articulés. Deuxième partie. 	1922		Imprimerie Nationale, Paris, 483–1041. 			
112		Koch C	The Tenebrionidae of southern Africa XXVI New Port. East African species collected by Dr A J Barbosa. 	1954b		Revista da faculdade de ciencias, Universidade de Lisboa. Serie C. Ciencias Naturais 3: 239–310. 			
55		Koch C	Analysis of the Madagascan components of the subfamily Tentyriinae (Tenebrionidae, Coleoptera) with revisions of the generic systematics of the Asidini from Africa south of the Sahara and the African, Asiatic and Palaearctic Epitragina of Tentyriini.	1962a		Mémoires de l’institut de la scientifique de Madagascar 13: 1–146.			
73		Harold E	Diagnosen neuer Coleopteren aus dem innern Africa.	1878		Mittheilungen der münchner entomologischen Verein 2: 99–111.			
87		Gerstaecker A	Bestimmung der von Herr Dr. G. A. Fischer während seiner Reise nach dem Massai-Land gesammelten Coleopteren. 	1884		Jahrbuch der Hamburgischen Wissenschaftlichen Anstalten zu Hamburg für 1883: 43–63.			
159		Guérin-Méneville FE	Iconographie du règne animal de G. Cuvier, ou representation d’après la nature de Vune des espèces les plus remarquables et souvent non encore figurées, de chaque genre d’animaux. Avec un texte descriptif mis au couraní de la science. Ouvrage pouvant servir ďatlas à tous les traités de zoologie. II. 	1831		Planches des animaux invertébrés. Insectes. [1829–1838].			
49		Fairmaire L	Coléoptères nouveaux de l’Afrique du Musée de Leyde. 	1888b		Notes from the Leyden Museum 10: 255–271.			
65		Fairmaire L	Coléoptères de l’Afrique Orientale.	1891b		Comptes-rendus des Séances de la Société Entomologique de Belgique 4(20): CCLXXIX–CCCVII.			
121		Erichson WF	Über die Insecten von Algier mit besonderer Rücksicht auf ihre geographische Verbreitung.	1841		In: Wagner MF (Ed.) Reisen in der Regentschaft Algier 1836, 1837 und 1838 nebst einem naturhistorischen Anhang und einem Kupferatlas. Dritter Band. L. Voss, Leipzig, 140–194. 			
116		Chevrolat	Nouvelle espèce d’Échinotus. Genre voisin de Sepidium.	1874		Revue et Magasin de Zoologie 3: 331.			
131		Reitter E	Bestimmungs-Tabelle der Tenebrioniden-Abteilung der Sepidiini.	1914		Deutsche entomologische Zeitschrift 1914: 381–392.			
134		Kaszab Z, Pinheiro MFV	Uma nova especie de Sepidium (Coleoptera, Tenebrionidae) em Portugal. Eine neue Sepidium Art (Coleoptera, Tenebrionidae) aus Portugal.	1972		Estudos e Divulgaçao Téchnica (C) Entomologia forestall 1972: 5–17. 			
26		Kolbe HJ	Neue Coleoptera von Westafrika.	1886		Berliner entomologische Zeitschrift 27: 15–36.			
27		Gebien H	Diagnosen der von Dr. Sheffield Neave im südlichen Kongo-Gebiet gesammelten Tenebrioniden nebst Beschreibungen neuer Arten aus Deutsch-Ostafrika.	1910a		Annales de la Société entomologique de Belgique 54: 144–182.			
35		Koch C	Erster taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalis.	1959		Entomologischen Arbeiten aus dem Museum G. Frey Tutzing bei München 10: 568–596.			
38		Ardoin P	Coleoptera Tenebrionidae. Scientific report of the Belgian Mt. Kenya bioexpedition, 1975. no 10.	1977		Revue de Zoologie Africaine 91(4): 811–816.			
122		Fairmaire L	Essai sur les Coléoptères de Barbarie.	1871		Annales de la Société entomologique de France 10: 369–404. 			
127		Crotch GR	List of the Coleoptera found during the Progress of the Survey.	1872		In: Wilson CW, Palmer HS (Eds) Ordnance Survey of the Peninsula of Sinai. Vol. 1. Ordnance Survey Office, Southampton, 263–268.			
136		Escalera MM	Los coleópteros de Marruecos.	1914		Trabajos del Museo Nacionál de Ciencias Naturales Série Zoológica (Madrid) 11: 1–553.			
137		Karsch F	Die Käfer der Rohlfs’schen Afrikanischen Expedition 1878–79.	1881		Berliner Entomologische Zeitschrift 25: 41–50. 			
40		Gerstaecker A	Beitrag zur Insektenfauna von Zanzibar. III. Coleoptera.	1871		Archiv für Naturgeschichte 37(1): 42–86.			
45		Gerstaecker A	[new species description].	1854		Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königl. Preuss. Akademie der Wissenschaften zu Berlin: 530–534.			
66		Haag-Rutenberg G	[new species description]	1877		In: Vincenz G (Ed.) Zur Käfer-Fauna Central-Afrikas. Gesellschaft in Wien, XXVII, 501–522. 			
120		Escalera MM	Una campaña entomológica en el Susy descripción de los coléopteros recogidos en ella.	1913		Trabajos del Museo de Ciencias Naturales (Serie Zoologica) 8: 1–56. 			
165		Koch C	The Tenebrionidae of southern Africa III Tenebrionidae from a nest of Tatera.	1953d		Revue de Zoologie et de Botanique Africaines 47: 1–30.			
56		Fairmaire L	Matériaux pour la faune Coléoptèrique de la région Malagache (11e note).	1901		Revue d’Entomologie 20(5/6): 101–248.			
80		Fabricius JC	Systema entomologicae, systens insectorum classes, ordines, genera, species, adiectis synonymis, locis, descriptionibus, observationibus.	1775		Libraria Kortii, Flensburgi et Lipsiae, 832 pp.			
141		Allard E	[new species description].	1870		Petites Nouvelles Entomologiques 13: 49–50.			
177		Thunberg CP	Coleoptera Rostrata Capensia.	1813		Mémoires de l’Académie Impériale des Sciences de St. Pétersbourg (5. Sér. ) 4 [1811]: 376–400. 			
125		Gestro R	Diagnosi di alcune specie nuove di Coleotteri dell’Abssinia e del paese dei Somali. 	1878		Annali del Museo Civico de Storia Naturale 13: 318–322.			
128		Kwieton E	Synopsis des espèces du genre Sepidium F. d’Algerie et de Tunisie (Col., Tenebrionidae).	1980		Annotationes Zoologicae et Botanicae, 138: 1–19.			
146		Ancey CF	Descriptions de Coléoptères nouveaux d’Aden.	1881a		Le Naturaliste 50: 39.			
86		Gebien H	Coleoptera, Tenebrionidae. Wissenschaftliche ergebnisse der Deutschen ZentralAfrica-Expedition, 1907–1908: unter Führung Adolf Friedrichs, Herzogs zu Mecklenburg.	1913		Band IV: 57–79.			
105		Guérin-Méneville FE	Insectes Magasin de Zoologie, D’ Anatomie Comparee et de Paleontologie.	1844		Recueil, 377 pp. 			
106		Ancey CF	Contributions à la faune de l’Afrique Orientale Descriptions de Coléoptères nouveaux.	1883		Il Naturalista Siciliano 2: 116–120.			
