taxonID	area	gazetteer	status	referenceID
701	Zambia	Text	Native	
82	Tanzania	Text	Native	
1380	South Africa	Text	Native	
278	South Africa	Text	Native	
807	South Africa	Text	Native	
10	Namibia	Text	Native	
594	South Africa	Text	Native	
639	Tanzania	Text	Native	
117	Zambia	Text	Native	
397	Somalia	Text	Native	
269	Zimbabwe	Text	Native	
823	Mozambique	Text	Native	
1189	Zambia	Text	Native	
1357	Namibia	Text	Native	
1308	South Africa	Text	Native	
993	South Africa	Text	Native	
1021	Syria	Text	Native	
1335	Tanzania	Text	Native	
83	Kenya	Text	Native	
754	Mozambique	Text	Native	
1350	South Africa	Text	Native	
210	South Africa	Text	Native	
1103	Morocco	Text	Native	
223	South Africa	Text	Native	
282	Mozambique	Text	Native	
355	Kenya	Text	Native	
375	Zambia	Text	Native	
1259	South Africa	Text	Native	
748	Mozambique	Text	Native	
1307	Zimbabwe	Text	Native	
1002	Somalia	Text	Native	
87	Tanzania	Text	Native	
188	South Africa	Text	Native	
758	Democratic Republic of Congo	Text	Native	
1369	South Africa	Text	Native	
101	Mozambique	Text	Native	
187	Lesotho	Text	Native	
190	Tanzania	Text	Native	
684	Democratic Republic of Congo	Text	Native	
641	Angola	Text	Native	
404	Kenya	Text	Native	
177	Mozambique	Text	Native	
1001	Somalia	Text	Native	
421	Kenya	Text	Native	
732	South Africa	Text	Native	
806	Zimbabwe	Text	Native	
1352	Namibia	Text	Native	
182	Mozambique	Text	Native	
751	Democratic Republic of Congo	Text	Native	
782	South Africa	Text	Native	
1202	Zambia	Text	Native	
1255	Namibia	Text	Native	
224	South Africa	Text	Native	
819	Mozambique	Text	Native	
387	Somalia	Text	Native	
1229	South Africa	Text	Native	
24	South Africa	Text	Native	
782	Mozambique	Text	Native	
1360	Namibia	Text	Native	
1014	Tanzania	Text	Native	
125	South Africa	Text	Native	
394	Madagascar	Text	Native	
226	South Africa	Text	Native	
257	South Africa	Text	Native	
330	Tanzania	Text	Native	
1337	South Africa	Text	Native	
44	Namibia	Text	Native	
596	Namibia	Text	Native	
426	Kenya	Text	Native	
669	Mozambique	Text	Native	
677	South Africa	Text	Native	
1005	Somalia	Text	Native	
12	South Africa	Text	Native	
636	Tanzania	Text	Native	
602	Namibia	Text	Native	
1353	Namibia	Text	Native	
1111	Angola	Text	Native	
211	South Africa	Text	Native	
1280	Namibia	Text	Native	
769	Botswana	Text	Native	
1045	Morocco	Text	Native	
1049	Algeria	Text	Native	
700	Tanzania	Text	Native	
799	Zimbabwe	Text	Native	
100	South Africa	Text	Native	
207	South Africa	Text	Native	
219	South Africa	Text	Native	
337	South Africa	Text	Native	
347	Mozambique	Text	Native	
691	Zimbabwe	Text	Native	
1104	Morocco	Text	Native	
34	South Africa	Text	Native	
314	South Africa	Text	Native	
1040	Tunisia	Text	Native	
3	Zambia	Text	Native	
379	Democratic Republic of Congo	Text	Native	
