taxonID	area	gazetteer	status	referenceID
668	Angola	Text	Native	
784	Zimbabwe	Text	Native	
607	Namibia	Text	Native	
74	Tanzania	Text	Native	
136	Somalia	Text	Native	
276	South Africa	Text	Native	
298	South Africa	Text	Native	
1101	Ethiopia	Text	Native	
81	Tanzania	Text	Native	
215	South Africa	Text	Native	
805	South Africa	Text	Native	
1346	South Africa	Text	Native	
2	Namibia	Text	Native	
176	Tanzania	Text	Native	
258	South Africa	Text	Native	
305	Nigeria	Text	Native	
1204	Democratic Republic of Congo	Text	Native	
1296	Swaziland	Text	Native	
433	Democratic Republic of Congo	Text	Native	
830	Angola	Text	Native	
755	South Africa	Text	Native	
790	Botswana	Text	Native	
1189	Botswana	Text	Native	
1284	South Africa	Text	Native	
618	South Africa	Text	Native	
290	Namibia	Text	Native	
704	Namibia	Text	Native	
1193	Angola	Text	Native	
359	Democratic Republic of Congo	Text	Native	
715	South Africa	Text	Native	
1281	Namibia	Text	Native	
287	South Africa	Text	Native	
214	South Africa	Text	Native	
430	Democratic Republic of Congo	Text	Native	
377	Zambia	Text	Native	
1320	South Africa	Text	Native	
420	South Africa	Text	Native	
1218	South Africa	Text	Native	
1291	Lesotho	Text	Native	
345	Kenya	Text	Native	
990	Somalia	Text	Native	
620	Namibia	Text	Native	
260	South Africa	Text	Native	
624	South Africa	Text	Native	
248	Namibia	Text	Native	
663	South Africa	Text	Native	
676	Republic of Congo	Text	Native	
1294	South Africa	Text	Native	
162	Tanzania	Text	Native	
215	Namibia	Text	Native	
232	South Africa	Text	Native	
772	Kenya	Text	Native	
806	Botswana	Text	Native	
1271	South Africa	Text	Native	
319	South Africa	Text	Native	
833	Mozambique	Text	Native	
160	Nigeria	Text	Native	
687	South Africa	Text	Native	
163	Kenya	Text	Native	
266	South Africa	Text	Native	
721	South Africa	Text	Native	
1188	Tanzania	Text	Native	
1481	Botswana	Text	Native	
331	South Africa	Text	Native	
822	Tanzania	Text	Native	
747	Namibia	Text	Native	
802	Angola	Text	Native	
1248	Namibia	Text	Native	
164	Somalia	Text	Native	
1235	Botswana	Text	Native	
1264	South Africa	Text	Native	
1270	South Africa	Text	Native	
650	Tanzania	Text	Native	
95	Somalia	Text	Native	
131	Madagascar	Text	Native	
312	South Africa	Text	Native	
746	South Africa	Text	Native	
1363	Namibia	Text	Native	
243	South Africa	Text	Native	
296	South Africa	Text	Native	
666	Kenya	Text	Native	
1099	Somalia	Text	Native	
