ID	parentID	nameID	provisional	accordingToID	accordingToDate	referenceID	extinct	temporalRangeStart	temporalRangeEnd	lifezone	link	remarks
637	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	637	0		2019	43	0			Terrestrial		
1253	394f3f4a-fd3c0-10dd5-6151f-c6b10c415	1253	0		2019		0			Terrestrial		
1330	075430b1-83ca4-d7bf6-0bcfe-9e99c476a	1330	0		2019	8	0			Terrestrial		
d82237fb-a4538-3ec1e-98b7c-7b8f20a54	ddb1df26-680b3-4488c-943de-edd8a25f6	d82237fb-a4538-3ec1e-98b7c-7b8f20a54	false									
1096	16c4b02f-2e34e-99a80-522d6-bc6527ca3	1096	0		2019	42	0			Terrestrial		
62	a8010abb-2d3a2-c0773-329a0-3790a9aa5	62	0		2019	29	0			Terrestrial		
234	f35a7655-4306b-31394-b89cc-8feaef976	234	0		2019	2	0			Terrestrial		
361	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	361	0		2019	40	0			Terrestrial		
1181	406a3ba9-9947c-3d495-50624-ba7fd6b2a	1181	0		2019		0			Terrestrial		
1292	7006f9e3-2aa4e-3c91d-de563-7c57151bf	1292	0		2019	49	0			Terrestrial		
19	d5cc6683-cdf62-83703-166e9-e90e24e7b	19	0		2019	17	0			Terrestrial		
619	3bdae232-08c3a-2e508-13548-fb2433ff5	619	0		2019	12	0			Terrestrial		
634	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	634	0		2019	103	0			Terrestrial		
1102	e4f29b9e-01b70-f1d43-e6f26-73214bfe5	1102	0		2019	42	0			Terrestrial		
379	b6f9f068-14049-0ec30-77638-09e6630ed	379	0		2019	69	0			Terrestrial		
633	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	633	0		2019	103	0			Terrestrial		
1003	8554ed7e-e0bbb-d2f22-0cd01-f6cb9b8b9	1003	0		2019	118	0			Terrestrial		
63	a8010abb-2d3a2-c0773-329a0-3790a9aa5	63	0		2019	26	0			Terrestrial		
67	a8010abb-2d3a2-c0773-329a0-3790a9aa5	67	0		2019	6	0			Terrestrial		
104	fa0889d7-bc581-0db76-5233e-f7d89d0a9	104	0		2019	6	0			Terrestrial		
203	f35a7655-4306b-31394-b89cc-8feaef976	203	0		2019	17	0			Terrestrial		
322	f35a7655-4306b-31394-b89cc-8feaef976	322	0		2019	6	0			Terrestrial		
1077	16c4b02f-2e34e-99a80-522d6-bc6527ca3	1077	0		2019	48	0			Terrestrial		
406a3ba9-9947c-3d495-50624-ba7fd6b2a	8ca50825-e1038-7795c-1f3b5-e4528e99d	406a3ba9-9947c-3d495-50624-ba7fd6b2a	false									
406	175	406	0		2019	57	0			Terrestrial		
649	628	649	0		2019	10	0			Terrestrial		
113	b9a0faee-27c7e-94c8c-d97ff-2438f3615	113	0		2019	50	0			Terrestrial		
0827460b-c960f-669e6-a9ee8-7f105c3d7	e764f3aa-700f3-5d902-883eb-f09919bb2	0827460b-c960f-669e6-a9ee8-7f105c3d7	false									
290	f35a7655-4306b-31394-b89cc-8feaef976	290	0		2019	33	0			Terrestrial		
1226	b17522ca-36e49-15879-01600-3c9a5f3e5	1226	0		2019		0			Terrestrial		
1233	b17522ca-36e49-15879-01600-3c9a5f3e5	1233	0		2019		0			Terrestrial		
1368	1259	1368	0		2019	28	0			Terrestrial		
29	93073505-ccf2d-1fef2-72bdb-cd80e47c7	29	0		2019	12	0			Terrestrial		
177	2504265a-9425c-1c13b-eb604-b698fdc62	177	0		2019	67	0			Terrestrial		
611	d97d614f-b2f4e-d6f3b-b31ac-a9443eb53	611	0		2019	17	0			Terrestrial		
1310	c9cae5de-ea97a-37905-a97b5-b274bfe7a	1310	0		2019	21	0			Terrestrial		
416	301	416	0		2019	70	0			Terrestrial		
213	f35a7655-4306b-31394-b89cc-8feaef976	213	0		2019	32	0			Terrestrial		
252	f35a7655-4306b-31394-b89cc-8feaef976	252	0		2019	76	0			Terrestrial		
644	52f98d15-6d070-2fcf1-fcb43-c1b3d82f8	644	0		2019	10	0			Terrestrial		
