ID	ReferenceType	ReferenceID
478	NomRef	56
479	NomRef	6
480	NomRef	58
481	NomRef	59
482	NomRef	18
483	NomRef	93
484	NomRef	60
485	NomRef	18
486	NomRef	96
487	NomRef	60
488	NomRef	60
489	NomRef	17
490	NomRef	17
491	NomRef	17
492	NomRef	6
493	NomRef	97
494	NomRef	64
495	NomRef	65
496	NomRef	66
497	NomRef	22
498	NomRef	22
499	NomRef	22
500	NomRef	22
501	NomRef	62
502	NomRef	64
503	NomRef	6
504	NomRef	26
505	NomRef	37
506	NomRef	6
507	NomRef	20
508	NomRef	20
509	NomRef	71
510	NomRef	17
511	NomRef	45
512	NomRef	20
513	NomRef	17
514	NomRef	32
515	NomRef	80
516	NomRef	59
517	NomRef	17
518	NomRef	17
519	NomRef	28
520	NomRef	17
521	NomRef	6
522	NomRef	74
523	NomRef	17
524	NomRef	75
525	NomRef	17
526	NomRef	17
527	NomRef	18
528	NomRef	20
529	NomRef	17
530	NomRef	17
531	NomRef	20
532	NomRef	28
533	NomRef	78
534	NomRef	9
535	NomRef	17
536	NomRef	28
537	NomRef	79
538	NomRef	17
539	NomRef	20
540	NomRef	80
541	NomRef	17
542	NomRef	20
543	NomRef	20
544	NomRef	17
545	NomRef	28
546	NomRef	17
547	NomRef	20
548	NomRef	20
549	NomRef	20
550	NomRef	16
551	NomRef	98
552	NomRef	17
553	NomRef	20
554	NomRef	82
555	NomRef	64
556	NomRef	83
557	NomRef	64
558	NomRef	84
559	NomRef	33
560	NomRef	85
561	NomRef	7
562	NomRef	83
563	NomRef	83
564	NomRef	54
565	NomRef	12
566	NomRef	83
567	NomRef	86
568	NomRef	40
569	NomRef	2
570	NomRef	65
571	NomRef	64
572	NomRef	83
573	NomRef	83
574	NomRef	87
575	NomRef	83
576	NomRef	67
577	NomRef	22
578	NomRef	27
579	NomRef	27
580	NomRef	27
581	NomRef	88
582	NomRef	42
583	NomRef	37
584	NomRef	97
585	NomRef	69
586	NomRef	91
587	NomRef	37
588	NomRef	65
652	NomRef	6
653	NomRef	6
654	NomRef	99
655	NomRef	6
656	NomRef	23
657	NomRef	79
658	NomRef	10
659	NomRef	100
439	TaxAccRef	19
440	TaxAccRef	24
441	TaxAccRef	19
442	TaxAccRef	19
443	TaxAccRef	19
444	TaxAccRef	19
445	TaxAccRef	19
446	TaxAccRef	22
447	TaxAccRef	19
448	TaxAccRef	19
449	TaxAccRef	19
450	TaxAccRef	19
451	TaxAccRef	19
452	TaxAccRef	19
453	TaxAccRef	19
454	TaxAccRef	19
455	TaxAccRef	19
456	TaxAccRef	19
457	TaxAccRef	19
458	TaxAccRef	19
459	TaxAccRef	19
460	TaxAccRef	19
461	TaxAccRef	22
462	TaxAccRef	19
463	TaxAccRef	19
464	TaxAccRef	19
465	TaxAccRef	19
466	TaxAccRef	19
467	TaxAccRef	19
468	TaxAccRef	19
469	TaxAccRef	19
470	TaxAccRef	19
471	TaxAccRef	19
472	TaxAccRef	19
473	TaxAccRef	48
474	TaxAccRef	19
475	TaxAccRef	19
476	TaxAccRef	19
477	TaxAccRef	24
478	TaxAccRef	19
479	TaxAccRef	19
480	TaxAccRef	19
481	TaxAccRef	19
482	TaxAccRef	6
483	TaxAccRef	19
484	TaxAccRef	6
485	TaxAccRef	19
486	TaxAccRef	101
487	TaxAccRef	19
488	TaxAccRef	19
489	TaxAccRef	6
490	TaxAccRef	6
491	TaxAccRef	6
492	TaxAccRef	62
493	TaxAccRef	22
494	TaxAccRef	19
495	TaxAccRef	19
496	TaxAccRef	19
497	TaxAccRef	61
498	TaxAccRef	19
499	TaxAccRef	19
500	TaxAccRef	19
501	TaxAccRef	19
502	TaxAccRef	19
503	TaxAccRef	19
504	TaxAccRef	69
505	TaxAccRef	19
506	TaxAccRef	19
507	TaxAccRef	19
508	TaxAccRef	24
509	TaxAccRef	19
510	TaxAccRef	19
511	TaxAccRef	19
512	TaxAccRef	24
513	TaxAccRef	19
514	TaxAccRef	24
515	TaxAccRef	102
516	TaxAccRef	6
517	TaxAccRef	19
518	TaxAccRef	19
519	TaxAccRef	7
520	TaxAccRef	7
521	TaxAccRef	19
522	TaxAccRef	19
523	TaxAccRef	6
524	TaxAccRef	19
525	TaxAccRef	7
526	TaxAccRef	19
527	TaxAccRef	19
528	TaxAccRef	24
529	TaxAccRef	19
530	TaxAccRef	19
531	TaxAccRef	19
532	TaxAccRef	19
533	TaxAccRef	19
534	TaxAccRef	24
535	TaxAccRef	19
536	TaxAccRef	19
537	TaxAccRef	19
538	TaxAccRef	19
539	TaxAccRef	32
540	TaxAccRef	19
541	TaxAccRef	19
542	TaxAccRef	24
543	TaxAccRef	24
544	TaxAccRef	19
545	TaxAccRef	19
546	TaxAccRef	19
547	TaxAccRef	24
548	TaxAccRef	24
549	TaxAccRef	32
550	TaxAccRef	16
551	TaxAccRef	24
552	TaxAccRef	19
553	TaxAccRef	32
554	TaxAccRef	19
555	TaxAccRef	19
556	TaxAccRef	19
557	TaxAccRef	19
558	TaxAccRef	19
559	TaxAccRef	19
560	TaxAccRef	19
561	TaxAccRef	69
562	TaxAccRef	19
563	TaxAccRef	19
564	TaxAccRef	19
565	TaxAccRef	19
566	TaxAccRef	19
567	TaxAccRef	19
568	TaxAccRef	19
569	TaxAccRef	19
570	TaxAccRef	19
571	TaxAccRef	19
572	TaxAccRef	19
573	TaxAccRef	19
574	TaxAccRef	19
575	TaxAccRef	19
576	TaxAccRef	19
577	TaxAccRef	19
578	TaxAccRef	19
579	TaxAccRef	19
580	TaxAccRef	19
581	TaxAccRef	19
582	TaxAccRef	19
583	TaxAccRef	19
584	TaxAccRef	69
585	TaxAccRef	19
586	TaxAccRef	19
587	TaxAccRef	19
588	TaxAccRef	19
589	NomRef	12
590	NomRef	12
591	NomRef	12
592	NomRef	12
593	NomRef	12
594	NomRef	12
595	NomRef	12
596	NomRef	6
597	NomRef	12
598	NomRef	6
599	NomRef	12
600	NomRef	12
601	NomRef	11
602	NomRef	11
603	NomRef	99
604	NomRef	11
605	NomRef	6
606	NomRef	7
607	NomRef	12
608	NomRef	7
609	NomRef	12
610	NomRef	76
