ReferenceID	Authors	Year	Title	Source
79	Gebien H	1920	Käfer aus der Familie Tenebrionidae gesammelt auf der “Hamburger deutschsüdwestafrikanischenStudienreise 1911”.	Hamburgische Universität Abhandlungen aus der Auslandskunde Band 5. Reihe C Naturwissenschaften Band 2. Hamburg: L. Friederichsen & Co., 168 pp.
80	Fabricius JC	1775	Systema entomologicae, systens insectorum classes, ordines, genera, species, adiectis synonymis, locis, descriptionibus, observationibus.	Libraria Kortii, Flensburgi et Lipsiae, 832 pp.
81	Burchell WJ	1822	Travels in the Interior of Southern Africa. 	Longman, Hurst, Rees, Orme, and Brown, London, 586 pp. 
82	Fairmaire L	1884	Diagnoses de Coléoptères de l’Afrique Orientale. 	Comptes-rendus des Séances de la Société Entomologique de Belgique 3(42): LXX–LXXVIII.
83	Lesne P	1922	Bostrychides, Clérides, Sphindides, et Ténébrionides. In: Rothschild MB Voyage de M. le baron Maurice de Rothschild en Éthiopie et en Afrique Orientale Anglaise (1904–1905). Résultats scientifiques. Animaux articulés. Deuxième partie. 	Imprimerie Nationale, Paris, 483–1041. 
84	Gridelli E	1939a	Coleoptera Staphylinidae, Diversicornia, Heteromera, Lamellicornia, Chrysomelidae (Partim). Missione Biologica nel Paese dei Borana. 	Volume secondo Raccolte Zoologiche Parte prima Reale Accademia d’Italia, Centro Studi per l’Africa Orientale Italiana, Roma 2: 85–315. 
85	Reiche LJ	1850	Entomologie.	In: Ferret A, Galinier JG (Eds) Voyage en Abyssinie 1839–43, Voyage en Abyssinie dans les provinces du Tigré, du Samen et de l’Amhara. Paulin, Paris, 259–471, 13 pls.
86	Gebien H	1913	Coleoptera, Tenebrionidae. Wissenschaftliche ergebnisse der Deutschen ZentralAfrica-Expedition, 1907–1908: unter Führung Adolf Friedrichs, Herzogs zu Mecklenburg.	Band IV: 57–79.
87	Gerstaecker A	1884	Bestimmung der von Herr Dr. G. A. Fischer während seiner Reise nach dem Massai-Land gesammelten Coleopteren. 	Jahrbuch der Hamburgischen Wissenschaftlichen Anstalten zu Hamburg für 1883: 43–63.
88	Gebien H	1938	Die Tenebrioniden (Coleoptera Heteromera) der Namibwüste in Südwestafrika.	Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen 30: 20–107.
